slug,name_zh,name_en,gender,birth_date,birth_date_precision,birth_date_text,death_date,status,birthplace,current_location,father_slug,mother_slug,intro,tags,is_featured,primary_source_ids,evidence_status,review_status,notes
yang-yang-vienna,阳阳,Yang Yang,female,2000-08-10,day,August 10 2000,,alive,China,"CCRCGP Wolong Gengda Base, Wolong, Sichuan Province, China",,,"Vienna Zoo breeding female and mother of Fu Long, Fu Hu, Fu Bao, Fu Feng, and Fu Ban; later listed at CCRCGP Wolong Gengda Base in a secondary current index.","vienna-zoo;lineage-anchor;returned-to-china;ccrcgp-wolong-gengda-base;gpg-index",false,src_vienna_panda_baby;src_vienna_pandas_overview;src_gpg_wolong_gengda_profiles,partial,draft,"Official Vienna Zoo overview verifies birth and breeding identity; post-Vienna Gengda current-location relies on secondary GPG and needs primary holder confirmation."
long-hui,龙徽,Long Hui,male,2000-09-26,day,September 26 2000,2016-12-09,deceased,China,"Vienna Zoo, Austria",,,"Vienna Zoo breeding male and father of Vienna-born cubs; died during emergency examination after tumor discovery.","vienna-zoo;lineage-anchor;deceased",false,src_vienna_panda_baby;src_vienna_pandas_overview;src_vienna_longhui_death;src_vienna_longhui_necropsy,verified,draft,"Official Vienna Zoo pages confirm birth date, death date, and cholangiocarcinoma/multi-organ-failure context."
fu-long,福龙,Fu Long,male,2007-08-23,day,August 23 2007,,alive,"Vienna Zoo, Austria",China,long-hui,yang-yang-vienna,"First naturally conceived giant panda born in a European zoo; later moved to China.","vienna-zoo;returned-to-china;locally-born;langzhong-panda-paradise",false,src_vienna_panda_baby;src_vienna_fulong_fuhu_birthday;src_gpg_langzhong_profiles,verified,draft,"Secondary index lists a previous Langzhong Panda Paradise association."
fu-hu,福虎,Fu Hu,male,2010-08-23,day,August 23 2010,,alive,"Vienna Zoo, Austria","Ziqing Lake Safari Park, Nanjing, Jiangsu Province, China",long-hui,yang-yang-vienna,"Vienna-born male giant panda later moved to China.","vienna-zoo;returned-to-china;locally-born;ziqing-lake-safari-park",false,src_vienna_panda_baby;src_vienna_fulong_fuhu_birthday;src_gpg_ziqing_lake_profiles,verified,draft,"Ziqing Lake current-location context from secondary discovery index."
fu-bao-vienna,福豹,Fu Bao,male,2013-08-14,day,August 14 2013,,alive,"Vienna Zoo, Austria","Ziqing Lake Safari Park, Nanjing, Jiangsu Province, China",long-hui,yang-yang-vienna,"Third Vienna-born male giant panda, named Fu Bao.","vienna-zoo;returned-to-china;locally-born;ziqing-lake-safari-park",false,src_vienna_panda_baby;src_vienna_fubao_birthday;src_gpg_ziqing_lake_profiles,verified,draft,"Disambiguated from Korea-born Fu Bao; Ziqing Lake current-location context from secondary discovery index."
fu-feng,福凤,Fu Feng,female,2016-08-07,day,August 7 2016,,alive,"Vienna Zoo, Austria","CCRCGP Wolong Gengda Base, Sichuan Province, China",long-hui,yang-yang-vienna,"Female member of Vienna's 2016 giant panda twins, later listed at CCRCGP Wolong Gengda Base.","vienna-zoo;returned-to-china;twin;locally-born;ziqing-lake-safari-park;ccrcgp-wolong-gengda-base",false,src_vienna_panda_baby;src_vienna_twins_research;src_vienna_twins_diary;src_gpg_ziqing_lake_profiles;src_gpg_wolong_gengda_current_page_2,partial,draft,"Official Vienna diary confirms name and sex; current/previous China holder sequence relies on secondary GPG sources and needs primary confirmation."
fu-ban,福伴,Fu Ban,male,2016-08-07,day,August 7 2016,,alive,"Vienna Zoo, Austria","Ziqing Lake Safari Park, Nanjing, Jiangsu Province, China",long-hui,yang-yang-vienna,"Male member of Vienna's 2016 giant panda twins.","vienna-zoo;returned-to-china;twin;locally-born;ziqing-lake-safari-park",false,src_vienna_panda_baby;src_vienna_twins_research;src_vienna_twins_diary;src_gpg_ziqing_lake_profiles,verified,draft,"Official Vienna diary confirms name and sex; Ziqing Lake current-location context from secondary discovery index."
er-shun,二顺,Er Shun,female,2007-08-10,day,August 10 2007,,alive,"Chongqing Zoo, China",China,,,"Former Toronto and Calgary Zoo female giant panda and mother of Canada's first panda twins.","toronto-zoo;calgary-zoo;returned-to-china",false,src_toronto_twins_birthday;src_calgary_pandas_return;src_gpg_calgary_profiles,partial,draft,"Birth date from secondary database; official primary confirmation still needed."
da-mao,大毛,Da Mao,male,2008-09-01,day,September 1 2008,,alive,"Chengdu Research Base of Giant Panda Breeding, China",China,,,"Former Toronto and Calgary Zoo male giant panda and father of Canada's first panda twins.","toronto-zoo;calgary-zoo;returned-to-china",false,src_toronto_twins_birthday;src_calgary_pandas_return;src_gpg_calgary_profiles,partial,draft,"Birth date from secondary database; official primary confirmation still needed."
jia-panpan,加盼盼,Jia Panpan,male,2015-10-13,day,October 13 2015,,alive,"Toronto Zoo, Canada",China,da-mao,er-shun,"Male member of Canada's first giant panda twins.","toronto-zoo;calgary-zoo;returned-to-china;twin",false,src_toronto_twins_birthday;src_gpg_calgary_profiles,verified,draft,""
jia-yueyue,加悦悦,Jia Yueyue,female,2015-10-13,day,October 13 2015,,alive,"Toronto Zoo, Canada","Wuxi Zoo Taihu Lake Amusement Park, Wuxi, Jiangsu Province, China",da-mao,er-shun,"Female member of Canada's first giant panda twins, later listed at Wuxi Zoo Taihu Lake Amusement Park in a secondary discovery index.","toronto-zoo;calgary-zoo;returned-to-china;wuxi-zoo;twin;gpg-index",false,src_toronto_twins_birthday;src_gpg_calgary_profiles;src_gpg_wuxi_profiles,partial,draft,"Birth and Canadian twin context are verified; Wuxi current-location needs primary holder or transfer confirmation."
xing-er,星二,Xing Er,male,2013-08-23,day,August 23 2013,,alive,"Chengdu Research Base of Giant Panda Breeding, China","Copenhagen Zoo, Denmark",,,"Male giant panda at Copenhagen Zoo.","copenhagen-zoo;current-overseas",false,src_gpg_copenhagen_profiles;src_copenhagen_2025_mating_attempt,partial,draft,"Official Copenhagen source confirms current pair/sex and 2025 breeding attempt; birth date still from secondary database."
mao-sun,毛笋,Mao Sun,female,2014-07-26,day,July 26 2014,,alive,"Chengdu Research Base of Giant Panda Breeding, China","Copenhagen Zoo, Denmark",,,"Female giant panda at Copenhagen Zoo.","copenhagen-zoo;current-overseas",false,src_gpg_copenhagen_profiles;src_copenhagen_2025_mating_attempt,partial,draft,"Official Copenhagen source confirms current pair/sex and 2025 breeding attempt; birth date still from secondary database."
ling-ling-smithsonian,玲玲,Ling Ling,female,,year_text,1970,1992-12-30,deceased,China,"Smithsonian National Zoo, Washington, D.C.",,,"Female giant panda gifted to the United States in 1972 with Hsing Hsing.","smithsonian;historic-overseas;deceased",false,src_smithsonian_history;src_gpg_smithsonian_profiles,partial,draft,"Death date verified by Smithsonian; birth year from secondary database."
hsing-hsing,兴兴,Hsing Hsing,male,,year_text,1971,1999-11-28,deceased,China,"Smithsonian National Zoo, Washington, D.C.",,,"Male giant panda gifted to the United States in 1972 with Ling Ling.","smithsonian;historic-overseas;deceased",false,src_smithsonian_history;src_gpg_smithsonian_profiles,partial,draft,"Death date verified by Smithsonian; birth year from secondary database."
kai-kai-sg,凯凯,Kai Kai,male,2007-09-14,day,September 14 2007,,alive,China,"River Wonders, Singapore",,,"Male giant panda at River Wonders and father of Singapore-born Le Le.","singapore;river-wonders;current-overseas;lineage-anchor;gpg-index",false,src_mandai_giant_panda_profile;src_gpg_meet_world_page_7,partial,draft,"Exact birth date comes from secondary GPG index; parentage still needs official profile."
jia-jia-sg,嘉嘉,Jia Jia,female,2008-09-03,day,September 3 2008,,alive,China,"River Wonders, Singapore",,,"Female giant panda at River Wonders and mother of Singapore-born Le Le.","singapore;river-wonders;current-overseas;lineage-anchor;gpg-index",false,src_mandai_giant_panda_profile;src_gpg_meet_world_page_8,partial,draft,"Exact birth date comes from secondary GPG index; parentage still needs official profile."
le-le-singapore,叻叻,Le Le,male,2021-08-14,day,August 14 2021,,alive,"River Wonders, Singapore","CCRCGP Dujiangyan Base, Sichuan Province, China",kai-kai-sg,jia-jia-sg,"First giant panda cub born in Singapore; returned to China in 2024 and later appears in Dujiangyan secondary index.","singapore;returned-to-china;locally-born;ccrcgp-dujiangyan-base;gpg-index",false,src_mandai_giant_panda_profile;src_mandai_lele_name;src_mandai_lele_return;src_gpg_meet_world_page_18,partial,draft,"Singapore birth/name/return facts are official-source-backed; Dujiangyan current-location context needs primary holder confirmation."
kai-kai-macau,开开,Kai Kai,male,2008-08-24,day,August 24 2008,,alive,China,"Macao Giant Panda Pavilion, Macao",,,"Male giant panda at the Macao Giant Panda Pavilion and father of Jian Jian and Kang Kang; also rendered Ya Lin in a secondary index.","macao;current-overseas;lineage-anchor;gpg-index",false,src_macao_kai_birthday;src_macao_twins_birth;src_gpg_meet_world_page_8,partial,draft,"Birth date inferred from official birthday article; secondary GPG row supplies Ya Lin alias context and still needs direct profile confirmation."
xin-xin-macau,心心,Xin Xin,female,2007-07-05,day,July 5 2007,,alive,China,"Macao Giant Panda Pavilion, Macao",,,"Female giant panda at the Macao Giant Panda Pavilion and mother of Jian Jian and Kang Kang.","macao;current-overseas;lineage-anchor",false,src_macao_kai_birthday;src_macao_happy_family_2023;src_macao_twins_birth,partial,draft,"Birth date inferred from official birthday context."
jian-jian-macau,健健,Jian Jian,male,2016-06-26,day,June 26 2016,,alive,"Macao Giant Panda Pavilion, Macao","Macao Giant Panda Pavilion, Macao",kai-kai-macau,xin-xin-macau,"One of the first Macao-born giant panda twin brothers.","macao;current-overseas;twin;locally-born",false,src_macao_twins_birth;src_macao_happy_family_2023,verified,draft,""
kang-kang-macau,康康,Kang Kang,male,2016-06-26,day,June 26 2016,,alive,"Macao Giant Panda Pavilion, Macao","Macao Giant Panda Pavilion, Macao",kai-kai-macau,xin-xin-macau,"One of the first Macao-born giant panda twin brothers.","macao;current-overseas;twin;locally-born",false,src_macao_twins_birth;src_macao_happy_family_2023,verified,draft,""
shu-xiang,蜀祥,Shu Xiang,male,,unknown,,,alive,China,"Chengdu Research Base of Giant Panda Breeding, China",,,"Former Macao male giant panda returned to Chengdu for breeding opportunities in 2015.","macao;returned-to-china;historic-overseas",false,src_macao_shuxiang_return,partial,draft,"Exact birth date and current status need primary confirmation."
tuan-tuan,团团,Tuan Tuan,male,2004-09-01,day,September 1 2004,2022-11-19,deceased,"Wolong, Sichuan, China","Taipei Zoo, Taiwan",,hua-mei,"Former Taipei Zoo male giant panda; Hua Mei's firstborn twin cub and father of Yuan Zai and Yuan Bao.","taipei-zoo;hua-mei-descendant;twin;deceased;lineage-anchor",false,src_taipei_tuantuan_yuanyuan_intro;src_taipei_tuantuan_death;src_pandatribe_huamei_profile,verified,draft,"Merged former tuan-tuan-huamei discovery row after Taipei Zoo official source confirmed Tuan Tuan was Hua Mei's firstborn twin cub; twin-sibling details still need studbook confirmation."
yuan-yuan,圆圆,Yuan Yuan,female,2004-08-30,day,August 30 2004,,alive,China,"Taipei Zoo, Taiwan",,,"Taipei Zoo female giant panda and mother of Yuan Zai and Yuan Bao.","taipei-zoo;current-overseas;lineage-anchor",false,src_taipei_tuantuan_yuanyuan_intro;src_taipei_yuanbao_birth,verified,draft,""
yuan-zai,圆仔,Yuan Zai,female,2013-07-06,day,July 6 2013,,alive,"Taipei Zoo, Taiwan","Taipei Zoo, Taiwan",tuan-tuan,yuan-yuan,"First giant panda cub born in Taiwan.","taipei-zoo;current-overseas;locally-born",false,src_taipei_yuanzai_birth;src_taipei_yuanbao_birth,verified,draft,""
yuan-bao,圆宝,Yuan Bao,female,2020-06-28,day,June 28 2020,,alive,"Taipei Zoo, Taiwan","Taipei Zoo, Taiwan",tuan-tuan,yuan-yuan,"Second giant panda cub born to Yuan Yuan at Taipei Zoo.","taipei-zoo;current-overseas;locally-born",false,src_taipei_yuanbao_birth,verified,draft,""
xing-xing-my,兴兴,Xing Xing / Fu Wa,male,2006-08-23,day,August 23 2006,,alive,"CCRCGP, China","CCRCGP Mianyang Base, Mianyang, Sichuan Province, China",,,"Former Zoo Negara male giant panda, also known as Fu Wa; returned to China in 2025 and later listed at CCRCGP Mianyang Base.","malaysia;returned-to-china;changyu-dongtian-panda-pavilion;ccrcgp-mianyang-base;lineage-anchor;gpg-index",false,src_ecns_malaysia_adults_return;src_bernama_yiyi_shengyi_return;src_gpg_changyu_profiles;src_gpg_ccrcgp_mianyang_profiles;src_gpg_yaan_base_previous_page_3,partial,draft,"Return to China is official-source-backed; Mianyang current-location and Changyu history need primary/studbook confirmation."
liang-liang-my,靓靓,Liang Liang / Feng Yi,female,2006-08-23,day,August 23 2006,,alive,"CCRCGP, China","CCRCGP Mianyang Base, Mianyang, Sichuan Province, China",,,"Former Zoo Negara female giant panda, also known as Feng Yi; mother of three Malaysia-born cubs and later listed at CCRCGP Mianyang Base.","malaysia;returned-to-china;ccrcgp-mianyang-base;lineage-anchor;gpg-index",false,src_ecns_malaysia_adults_return;src_bernama_yiyi_shengyi_return;src_gpg_ccrcgp_mianyang_profiles;src_chinadaily_mianyang_garden_public_2025;src_gpg_yaan_base_previous_page_3,partial,draft,"Return to China is official-source-backed; China Daily Mianyang public-opening photo report supports current Mianyang display context but primary holder confirmation still preferred."
nuan-nuan,暖暖,Nuan Nuan,female,2015-08-18,day,August 18 2015,,alive,"Zoo Negara, Malaysia","Ziqing Lake Safari Park, Nanjing, Jiangsu Province, China",xing-xing-my,liang-liang-my,"First Malaysia-born giant panda cub; returned to China in 2017.","malaysia;returned-to-china;locally-born;ziqing-lake-safari-park",false,src_ecns_malaysia_adults_return;src_bernama_yiyi_shengyi_return;src_gpg_ziqing_lake_profiles,verified,draft,"Ziqing Lake current-location context from secondary discovery index."
yi-yi-malaysia,谊谊,Yi Yi,female,2018-01-14,day,January 14 2018,,alive,"Zoo Negara, Malaysia","CCRCGP Mianyang Base, Mianyang, Sichuan Province, China",xing-xing-my,liang-liang-my,"Malaysia-born giant panda cub returned to China with Sheng Yi in 2023 and later listed at CCRCGP Mianyang Base.","malaysia;returned-to-china;locally-born;ccrcgp-mianyang-base;gpg-index",false,src_ecns_malaysia_adults_return;src_bernama_yiyi_shengyi_return;src_gpg_ccrcgp_mianyang_profiles,partial,draft,"Return to China is official-source-backed; sex and Mianyang current-location need primary holder confirmation."
sheng-yi,升谊,Sheng Yi,female,2021-05-30,day,May 30 2021,,alive,"Zoo Negara, Malaysia","Beichuan Giant Panda Flora and Fauna Park, Beichuan, Sichuan Province, China",xing-xing-my,liang-liang-my,"Malaysia-born giant panda cub returned to China with Yi Yi in 2023 and later listed at Beichuan Giant Panda Flora and Fauna Park.","malaysia;returned-to-china;locally-born;beichuan-giant-panda-flora-fauna-park;gpg-index",false,src_ecns_malaysia_adults_return;src_bernama_yiyi_shengyi_return;src_gpg_beichuan_profiles,partial,draft,"Official-media birth/return context retained; GPG lists female and 2021-05-31, so sex/current-location/date conflict need primary holder confirmation."
cai-tao,彩陶,Cai Tao,male,2010-08-04,day,August 4 2010,,alive,"Ya'an, Sichuan, China","Taman Safari Indonesia, Bogor, Indonesia",,,"Male giant panda at Taman Safari Indonesia and father of Satrio Wiratama.","indonesia;taman-safari;current-overseas;lineage-anchor;taiyuan-zoo",false,src_xinhua_taman_safari_caitao;src_gpg_taman_safari_profiles;src_gpg_taiyuan_profiles;src_setneg_satrio_wiratama_birth,partial,draft,"Birth date from secondary database; Setneg confirms parent relationship for Rio; secondary index lists previous Taiyuan Zoo association."
hu-chun,湖春,Hu Chun,female,2010-09-08,day,September 8 2010,,alive,"Ya'an, Sichuan, China","Taman Safari Indonesia, Bogor, Indonesia",,,"Female giant panda at Taman Safari Indonesia and mother of Satrio Wiratama.","indonesia;taman-safari;current-overseas;lineage-anchor;taiyuan-zoo",false,src_xinhua_taman_safari_caitao;src_gpg_taman_safari_profiles;src_ap_indonesia_rio_birth;src_gpg_taiyuan_profiles;src_setneg_satrio_wiratama_birth;src_taman_safari_satrio_birth_2026,partial,draft,"Birth date from secondary database; Setneg/AP/Taman Safari confirm parent relationship for Rio; secondary index lists previous Taiyuan Zoo association."
satrio-wiratama,萨特里奥,Satrio Wiratama / Rio,male,2025-11-27,day,November 27 2025,,alive,"Taman Safari Indonesia, Bogor, Indonesia","Taman Safari Indonesia, Bogor, Indonesia",cai-tao,hu-chun,"First giant panda cub born in Indonesia, named Satrio Wiratama/Rio by Indonesia's president.","indonesia;taman-safari;current-overseas;locally-born;gpg-index",false,src_setneg_satrio_wiratama_birth;src_taman_safari_satrio_birth_2026;src_ap_indonesia_rio_birth;src_gpg_meet_world_page_20,partial,draft,"Official Setneg and Taman Safari sources confirm name, birth date, mother, and early health; sex kept partial until direct zoo or studbook confirmation."
chuang-chuang,创创,Chuang Chuang,male,2000-08-06,day,August 6 2000,2019-09-16,deceased,China,"Chiang Mai Zoo, Thailand",,,"Former Chiang Mai Zoo male giant panda and father of Lin Bing.","thailand;chiang-mai;deceased;lineage-anchor",false,src_gpg_chiangmai_profiles,partial,draft,"Dates from secondary database; direct zoo/government source still preferred."
lin-hui,林惠,Lin Hui,female,2001-09-28,day,September 28 2001,2023-04-19,deceased,China,"Chiang Mai Zoo, Thailand",,,"Former Chiang Mai Zoo female giant panda and mother of Lin Bing.","thailand;chiang-mai;deceased;lineage-anchor",false,src_china_consulate_linhui_death;src_gpg_chiangmai_profiles,partial,draft,"Birth date uses secondary day; consulate confirms month/year and death date."
lin-bing,林冰,Lin Bing,female,2009-05-27,day,May 27 2009,,alive,"Chiang Mai Zoo, Thailand","CCRCGP Wolong Gengda Base, Wolong, Sichuan Province, China",chuang-chuang,lin-hui,"First giant panda born in Thailand; later returned to China and listed at CCRCGP Wolong Gengda Base in a secondary current index.","thailand;returned-to-china;locally-born;ccrcgp-wolong-gengda-base;gpg-index",false,src_chinaorg_linbing_name;src_gpg_chiangmai_profiles;src_gpg_wolong_gengda_profiles,partial,draft,"China.org verifies naming context; current Gengda facility relies on secondary GPG and needs primary holder confirmation."
suhail,苏海尔,Suhail / Jing Jing,male,2019-09-19,day,September 19 2019,,alive,"Wolong Panda Reserve, Sichuan, China","Panda House, Al Khor, Qatar",,,"Male giant panda at Qatar's Panda House, also known as Jing Jing.","qatar;current-overseas",false,src_visitqatar_panda_house,verified,draft,""
thuraya,苏拉娅,Thuraya / Si Hai,female,2019-07-26,day,July 26 2019,,alive,"Wolong Panda Reserve, Sichuan, China","Panda House, Al Khor, Qatar",,,"Female giant panda at Qatar's Panda House, also known as Si Hai.","qatar;current-overseas",false,src_visitqatar_panda_house,verified,draft,""
pyry,华豹,Pyry / Hua Bao,male,2013-07-10,day,July 10 2013,,alive,China,"CCRCGP Mianyang Base, Mianyang, Sichuan Province, China",,,"Former Ahtari Zoo male giant panda returned to China in 2024 and later listed at CCRCGP Mianyang Base.","finland;returned-to-china;ccrcgp-mianyang-base;gpg-index",false,src_yle_finland_return;src_ap_finland_return;src_ahtari_snowpanda_house;src_gpg_ccrcgp_mianyang_profiles,partial,draft,"Ahtari official page confirms the Lumi/Pyry pair; exact birth date/current location are secondary and need primary confirmation."
lumi,金宝宝,Lumi / Jin Bao Bao,female,2014-09-20,day,September 20 2014,,alive,China,"CCRCGP Mianyang Base, Mianyang, Sichuan Province, China",,,"Former Ahtari Zoo female giant panda returned to China in 2024 and later listed at CCRCGP Mianyang Base.","finland;returned-to-china;ccrcgp-mianyang-base;gpg-index",false,src_yle_finland_return;src_ap_finland_return;src_ahtari_snowpanda_house;src_gpg_ccrcgp_mianyang_profiles;src_gpg_meet_world_page_14,partial,draft,"Ahtari official page confirms the Lumi/Pyry pair; exact birth date/current location are secondary and need primary confirmation."
pe-pe,佩佩,Pe Pe,male,,year_text,1974,1988-07-20,deceased,China,"Chapultepec Zoo, Mexico",,,"Original male giant panda gifted to Mexico and father of multiple Chapultepec-born cubs.","mexico;chapultepec;deceased;lineage-anchor",false,src_gpg_chapultepec_profiles;src_sedema_xinxin_shuanshuan_care,partial,draft,"Historic dates need primary archival confirmation."
ying-ying-mexico,迎迎,Ying Ying,female,,year_text,1974,1989-01-29,deceased,China,"Chapultepec Zoo, Mexico",,,"Original female giant panda gifted to Mexico and mother of multiple Chapultepec-born cubs.","mexico;chapultepec;deceased;lineage-anchor",false,src_gpg_chapultepec_profiles;src_sedema_xinxin_shuanshuan_care,partial,draft,"Historic dates need primary archival confirmation."
xen-li,新丽,Xen Li,female,1980-08-10,day,August 10 1980,,deceased,"Chapultepec Zoo, Mexico","Chapultepec Zoo, Mexico",pe-pe,ying-ying-mexico,"First live giant panda birth outside China, but died as a neonate.","mexico;chapultepec;deceased;locally-born",false,src_gpg_chapultepec_profiles,needs_primary_source,draft,"Historic neonatal death date needs primary archival source."
tohui,托辉,Tohui,female,1981-07-21,day,July 21 1981,1993-11-16,deceased,"Chapultepec Zoo, Mexico","Chapultepec Zoo, Mexico",pe-pe,ying-ying-mexico,"First overseas-born giant panda to survive to adulthood; mother of Xin Xin.","mexico;chapultepec;deceased;locally-born;lineage-anchor",false,src_gpg_chapultepec_profiles;src_sedema_xinxin_shuanshuan_care,partial,draft,"Historic dates from secondary database and institutional context."
liang-liang-mexico,亮亮,Liang Liang,male,1983-06-22,day,June 22 1983,1999-05-23,deceased,"Chapultepec Zoo, Mexico","Chapultepec Zoo, Mexico",pe-pe,ying-ying-mexico,"Chapultepec-born giant panda cub of Pe Pe and Ying Ying.","mexico;chapultepec;deceased;locally-born",false,src_gpg_chapultepec_profiles,needs_primary_source,draft,"Historic dates need primary archival source."
xiu-hua,秀华,Xiu Hua,female,1985-06-25,day,June 25 1985,2013-04-27,deceased,"Chapultepec Zoo, Mexico","Chapultepec Zoo, Mexico",pe-pe,ying-ying-mexico,"Chapultepec-born female giant panda.","mexico;chapultepec;deceased;locally-born",false,src_gpg_chapultepec_profiles,partial,draft,"Historic dates need primary archival confirmation."
xiu-hua-twin,秀华双胞胎,Xiu Hua twin,male,1985-06-25,day,June 25 1985,1985-06-27,deceased,"Chapultepec Zoo, Mexico","Chapultepec Zoo, Mexico",pe-pe,ying-ying-mexico,"Male twin sibling of Xiu Hua; died shortly after birth.","mexico;chapultepec;deceased;locally-born;twin",false,src_gpg_chapultepec_profiles,needs_primary_source,draft,"Needs primary archival source and official name confirmation."
ping-ping-mexico,平平,Ping Ping,unknown,1987-06-15,day,June 15 1987,1987-06-18,deceased,"Chapultepec Zoo, Mexico","Chapultepec Zoo, Mexico",pe-pe,ying-ying-mexico,"Chapultepec-born giant panda cub who died shortly after birth.","mexico;chapultepec;deceased;locally-born",false,src_gpg_chapultepec_profiles,needs_primary_source,draft,"Needs primary archival source and sex confirmation."
shuan-shuan,双双,Shuan Shuan,female,1987-06-15,day,June 15 1987,2022-07-06,deceased,"Chapultepec Zoo, Mexico","Chapultepec Zoo, Mexico",pe-pe,ying-ying-mexico,"Long-lived Chapultepec-born female giant panda and half-sister/aunt context for Mexico panda line; stayed at Ueno Zoo from 2003 to 2005 for breeding cooperation.","mexico;chapultepec;ueno;deceased;locally-born",false,src_sedema_xinxin_shuanshuan_care;src_sedema_pandas_birthdays_2019;src_sedema_shuanshuan_death;src_tokyo_zoo_ueno_panda_history;src_gpg_chapultepec_profiles,verified,draft,"SEDEMA and official Ueno history confirm birth and 2022-07-06 death; previous 2022-06-15 value was Shuan Shuan's birthday, not death date."
chia-chia-mexico,佳佳,Chia Chia,male,,year_text,1972,1991-10-13,deceased,China,"Chapultepec Zoo, Mexico",,,"London Zoo male giant panda loaned for breeding at Chapultepec; father of Xin Xin.","mexico;chapultepec;deceased;lineage-anchor;london-zoo",false,src_gpg_chapultepec_profiles;src_gpg_chiachia_profile;src_zsl_history_london_pandas;src_guardian_ching_chia_archive,partial,draft,"ZSL/Guardian confirm 1974 London Zoo context; GPG profile supplies later transfer and death date, so primary archive is still preferred."
xin-xin-mexico,欣欣,Xin Xin,female,1990-07-01,day,July 1 1990,,alive,"Chapultepec Zoo, Mexico","Chapultepec Zoo, Mexico",chia-chia-mexico,tohui,"Last giant panda in Latin America and current Chapultepec Zoo resident; SEDEMA celebrated her 35th birthday in 2025.","mexico;chapultepec;current-overseas;locally-born",false,src_sedema_xinxin_34;src_sedema_xinxin_35;src_sedema_xinxin_shuanshuan_care;src_sedema_pandas_birthdays_2019;src_gpg_chapultepec_profiles,verified,draft,""
yin-yin-hangzhou,,Yin Yin,male,,year_text,1971,,deceased,,"Hangzhou Zoo, China",,,"Historic/deceased Hangzhou Zoo giant panda captured from secondary discovery index.","china-domestic;hangzhou-zoo;historic;deceased;gpg-index",false,src_gpg_hangzhou_profiles,needs_primary_source,draft,"Secondary discovery row; needs archival primary source."
pei-pei-hangzhou,,Pei Pei,female,,year_text,1973,,deceased,,"Hangzhou Zoo, China",,,"Historic/deceased Hangzhou Zoo giant panda captured from secondary discovery index.","china-domestic;hangzhou-zoo;historic;deceased;gpg-index",false,src_gpg_hangzhou_profiles,needs_primary_source,draft,"Secondary discovery row; needs archival primary source."
shu-yun,,Shu Yun,male,2008-08-05,day,August 5 2008,,alive,,"Chengdu Panda Base, Chengdu, Sichuan Province, China",,,"Former Hangzhou and Qingdao Zoo giant panda captured from secondary discovery indexes.","china-domestic;hangzhou-zoo;qingdao-zoo;gpg-index",false,src_gpg_hangzhou_profiles;src_gpg_qingdao_profiles,needs_primary_source,draft,"Secondary discovery row; current facility and primary profile need confirmation."
cheng-da,,Cheng Da,female,2011-08-15,day,August 15 2011,,alive,,"Chengdu Panda Base, Chengdu, Sichuan Province, China",,,"Former Hangzhou Zoo giant panda captured from secondary discovery index.","china-domestic;hangzhou-zoo;gpg-index",false,src_gpg_hangzhou_profiles,needs_primary_source,draft,"Secondary discovery row; current facility and primary profile need confirmation."
liu-yi,,Liu Yi,male,2011-08-15,day,August 15 2011,,alive,,"Yancheng Safari Park, Changzhou, Jiangsu Province, China",,,"Yancheng Safari Park giant panda also listed in Hangzhou Zoo transfer history.","china-domestic;hangzhou-zoo;yancheng-safari-park;gpg-index",false,src_gpg_hangzhou_profiles;src_gpg_yancheng_safari_profiles,needs_primary_source,draft,"Secondary discovery row; primary current-holder profile still needed."
cheng-jiu,,Cheng Jiu,male,2014-07-18,day,July 18 2014,,alive,,"Chengdu Panda Base, Chengdu, Sichuan Province, China",,,"Former Hangzhou Zoo giant panda captured from secondary discovery index.","china-domestic;hangzhou-zoo;gpg-index",false,src_gpg_hangzhou_profiles,needs_primary_source,draft,"Secondary discovery row; current facility and primary profile need confirmation."
shuang-hao,,Shuang Hao,male,2014-07-29,day,July 29 2014,,alive,,"CRBGPB Panda Valley, Dujiangyan, Sichuan Province, China",,,"Former Hangzhou Zoo giant panda captured from secondary discovery index.","china-domestic;hangzhou-zoo;gpg-index",false,src_gpg_hangzhou_profiles,needs_primary_source,draft,"Secondary discovery row; current facility and primary profile need confirmation."
su-xing,,Su Xing,male,2014-08-03,day,August 3 2014,,alive,,"CCRCGP Wolong Gengda Base, Wolong, Sichuan Province, China",,,"Former Linyi Zoological Botanical Garden giant panda later listed at CCRCGP Wolong Gengda Base in GPG indexes.","china-domestic;linyi-zoo;ccrcgp-wolong-gengda-base;gpg-index",false,src_gpg_linyi_profiles;src_gpg_wolong_gengda_current_page_2,needs_primary_source,draft,"Secondary discovery row; transfer sequence and primary holder/studbook confirmation still needed."
bing-jing,,Bing Jing,female,2014-09-29,day,September 29 2014,,alive,,"Linyi Zoological Botanical Garden, China",,,"Linyi Zoological Botanical Garden giant panda captured from secondary discovery indexes and Ya'an transfer history.","china-domestic;linyi-zoo;ccrcgp-yaan-base;gpg-index",false,src_gpg_linyi_profiles;src_gpg_yaan_base_previous_page_7,needs_primary_source,draft,"Secondary discovery row; needs primary holder/source confirmation."
